,alpha,distance,iters
257,1.0,0.00012004375457763672,20.0
258,1.0,1.1682510375976562e-05,8.0
259,1.0,3.36766242980957e-05,12.0
260,1.0,2.0682811737060547e-05,17.0
261,1.0,5.662441253662109e-06,4.0
262,1.0,4.947185516357422e-05,11.0
263,1.0,1.0609626770019531e-05,9.0
264,1.0,1.615285873413086e-05,10.0
265,1.0,9.834766387939453e-06,10.0
266,1.0,7.092952728271484e-06,20.0
267,1.0,2.092123031616211e-05,18.0
268,1.0,7.808208465576172e-06,9.0
269,1.0,1.2040138244628906e-05,13.0
270,1.0,1.5020370483398438e-05,9.0
271,1.0,5.7578086853027344e-05,25.0
272,1.0,2.7000904083251953e-05,12.0
273,1.0,3.826618194580078e-05,16.0
274,1.0,1.436471939086914e-05,7.0
275,1.0,1.6093254089355469e-06,1.0
276,1.0,1.4960765838623047e-05,12.0
277,1.0,2.7298927307128906e-05,4.0
278,1.0,3.0934810638427734e-05,21.0
279,1.0,2.5272369384765625e-05,23.0
280,1.0,9.953975677490234e-06,10.0
281,1.0,3.2901763916015625e-05,6.0
282,1.0,3.933906555175781e-06,4.0
283,1.0,7.62939453125e-06,12.0
284,1.0,3.844499588012695e-05,15.0
285,1.0,2.2351741790771484e-05,15.0
286,1.0,8.344650268554688e-07,1.0
287,1.0,8.356571197509766e-05,40.0
288,1.0,8.463859558105469e-06,11.0
289,1.0,2.777576446533203e-05,29.0
290,1.0,1.9073486328125e-05,7.0
291,1.0,2.086162567138672e-05,23.0
292,1.0,3.7729740142822266e-05,22.0
293,1.0,1.0251998901367188e-05,18.0
294,1.0,3.5703182220458984e-05,3.0
295,1.0,1.0848045349121094e-05,5.0
296,1.0,2.682209014892578e-06,3.0
297,1.0,3.2842159271240234e-05,14.0
298,1.0,3.135204315185547e-05,6.0
299,1.0,1.0609626770019531e-05,15.0
300,1.0,1.4603137969970703e-05,4.0
301,1.0,1.043081283569336e-05,16.0
302,1.0,2.1576881408691406e-05,11.0
303,1.0,1.0848045349121094e-05,12.0
304,1.0,6.377696990966797e-06,3.0
305,1.0,9.000301361083984e-06,6.0
306,1.0,3.4689903259277344e-05,5.0
307,1.0,1.6629695892333984e-05,6.0
308,1.0,2.4020671844482422e-05,7.0
309,1.0,1.2516975402832031e-05,17.0
310,1.0,2.467632293701172e-05,11.0
311,1.0,8.940696716308594e-06,6.0
312,1.0,1.0728836059570312e-06,1.0
313,1.0,1.8596649169921875e-05,11.0
314,1.0,7.748603820800781e-07,1.0
315,1.0,5.7220458984375e-06,14.0
316,1.0,3.260374069213867e-05,21.0
317,1.0,2.086162567138672e-05,11.0
318,1.0,3.2782554626464844e-06,2.0
319,1.0,9.059906005859375e-06,8.0
320,1.0,8.881092071533203e-06,9.0
321,1.0,4.2378902435302734e-05,36.0
322,1.0,2.2292137145996094e-05,13.0
323,1.0,1.0073184967041016e-05,7.0
324,1.0,2.384185791015625e-05,3.0
325,1.0,6.318092346191406e-06,4.0
326,1.0,5.364418029785156e-06,4.0
327,1.0,3.7610530853271484e-05,18.0
328,1.0,6.735324859619141e-06,6.0
329,1.0,3.224611282348633e-05,15.0
330,1.0,1.239776611328125e-05,7.0
331,1.0,1.1920928955078125e-06,1.0
332,1.0,1.2874603271484375e-05,6.0
333,1.0,3.36766242980957e-05,44.0
334,1.0,2.2172927856445312e-05,10.0
335,1.0,1.4781951904296875e-05,4.0
336,1.0,5.990266799926758e-05,14.0
337,1.0,9.357929229736328e-06,13.0
338,1.0,2.6464462280273438e-05,17.0
339,1.0,2.9325485229492188e-05,5.0
340,1.0,1.4901161193847656e-06,1.0
341,1.0,1.811981201171875e-05,16.0
342,1.0,9.894371032714844e-06,1.0
343,1.0,1.531839370727539e-05,4.0
344,1.0,4.172325134277344e-06,6.0
345,1.0,6.139278411865234e-06,12.0
346,1.0,1.6629695892333984e-05,16.0
347,1.0,1.704692840576172e-05,12.0
348,1.0,5.9604644775390625e-06,4.0
349,1.0,1.1801719665527344e-05,7.0
350,1.0,1.2516975402832031e-05,13.0
351,1.0,1.3709068298339844e-06,4.0
352,1.0,7.581710815429688e-05,20.0
353,1.0,7.3909759521484375e-06,10.0
354,1.0,2.276897430419922e-05,3.0
355,1.0,1.7881393432617188e-06,3.0
356,1.0,1.9609928131103516e-05,5.0
357,1.0,1.245737075805664e-05,19.0
358,1.0,6.735324859619141e-06,3.0
359,1.0,5.245208740234375e-06,6.0
360,1.0,1.0251998901367188e-05,9.0
361,1.0,2.0623207092285156e-05,6.0
362,1.0,2.0265579223632812e-06,1.0
363,1.0,4.738569259643555e-05,25.0
364,1.0,2.378225326538086e-05,13.0
365,1.0,2.682209014892578e-05,10.0
366,1.0,1.2099742889404297e-05,37.0
367,1.0,1.1324882507324219e-05,5.0
368,1.0,5.841255187988281e-06,1.0
369,1.0,3.230571746826172e-05,16.0
370,1.0,2.3066997528076172e-05,5.0
371,1.0,1.3172626495361328e-05,10.0
372,1.0,3.129243850708008e-05,23.0
373,1.0,3.522634506225586e-05,11.0
374,1.0,1.0788440704345703e-05,6.0
375,1.0,9.953975677490234e-06,16.0
376,1.0,,
377,1.0,1.0251998901367188e-05,12.0
378,1.0,1.9490718841552734e-05,6.0
379,1.0,5.9604644775390625e-06,4.0
380,1.0,2.0503997802734375e-05,7.0
381,1.0,1.3589859008789062e-05,64.0
382,1.0,5.4836273193359375e-06,7.0
383,1.0,3.3020973205566406e-05,56.0
384,1.0,1.6808509826660156e-05,3.0
385,1.0,3.552436828613281e-05,15.0
386,1.0,1.0728836059570312e-06,2.0
387,1.0,2.09808349609375e-05,8.0
388,1.0,2.0623207092285156e-05,11.0
389,1.0,1.0013580322265625e-05,8.0
390,1.0,2.6345252990722656e-05,20.0
391,1.0,1.1265277862548828e-05,14.0
392,1.0,2.7835369110107422e-05,6.0
